instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00053 - f1races/00053-00000068.soc,42,17,None,,False,0.000843584537506104,False,0.000812426209449768,False,0.117710607126355,False,0.0148180760443211,None,None,False,1.11942176520824
../PrefLib-Data/datasets/00053 - f1races/00053-00000069.soc,30,14,None,,False,0.000579565763473511,False,0.000567121431231499,False,0.167142888531089,False,0.0746577065438032,None,None,False,39.163632132113
../PrefLib-Data/datasets/00053 - f1races/00053-00000070.soc,51,18,None,,False,0.000906042754650116,False,0.000929689034819603,False,0.260252263396978,False,0.428183333948255,None,None,False,0.134556539356709
../PrefLib-Data/datasets/00053 - f1races/00053-00000071.soc,48,17,None,,False,0.000841479748487473,False,0.000802475959062576,False,0.0223716087639332,False,0.309881614521146,None,None,False,0.177524434402585
../PrefLib-Data/datasets/00053 - f1races/00053-00000072.soc,46,15,None,,False,0.000641303136944771,False,0.00063583254814148,False,0.0366392582654953,False,0.166618559509516,None,None,False,0.113785345107317
../PrefLib-Data/datasets/00053 - f1races/00053-00000073.soc,34,18,None,,False,0.000907575711607933,False,0.000931540504097939,False,0.334084384143353,False,0.0214160606265068,None,None,False,0.116751434281468
../PrefLib-Data/datasets/00053 - f1races/00053-00000074.soc,31,17,None,,False,0.000842593610286713,False,0.000783819705247879,False,0.00163071043789387,False,0.01105597615242,None,None,False,0.824392765760422
../PrefLib-Data/datasets/00053 - f1races/00053-00000075.soc,62,19,None,,False,0.00100606307387352,False,0.000964712351560593,False,0.751264959573746,False,0.651594139635563,None,None,False,0.99852616712451
../PrefLib-Data/datasets/00053 - f1races/00053-00000076.soc,51,12,None,,False,0.0196440238505602,False,0.0203923676162958,False,0.0618535131216049,False,0.0503008812665939,None,None,False,0.16444736532867
../PrefLib-Data/datasets/00053 - f1races/00053-00000077.soc,41,18,None,,False,0.00171046331524849,False,0.00175798311829567,False,0.124489642679691,False,0.0084490180015564,None,None,False,2.35064001008868
../PrefLib-Data/datasets/00053 - f1races/00053-00000078.soc,43,16,None,,False,0.000856859609484673,False,0.000845588743686676,False,0.177630204707384,False,0.0568110235035419,None,None,False,0.220931323245168
../PrefLib-Data/datasets/00053 - f1races/00053-00000079.soc,36,15,None,,False,0.00208078138530254,False,0.00211429595947266,False,0.223797842860222,False,0.0160627271980047,None,None,False,1.41792867332697
../PrefLib-Data/datasets/00053 - f1races/00053-00000080.soc,49,16,None,,False,0.0015002153813839,False,0.00146453641355038,False,0.0654291547834873,False,0.246248325332999,None,None,False,1.15525882132351
../PrefLib-Data/datasets/00053 - f1races/00053-00000081.soc,61,17,None,,False,0.00159080699086189,False,0.00158213078975678,False,0.429858362302184,False,0.340072864666581,None,None,False,0.32627515681088
../PrefLib-Data/datasets/00053 - f1races/00053-00000082.soc,45,16,None,,False,0.000836770981550217,False,0.000819558277726173,False,0.00176235102117062,False,0.00532918237149715,None,None,False,0.124729849398136
